component_id,component_name,version,software_type,vendor,criticality_score,is_compromised,dependencies_count,dependents_count,vulnerability_count,base_risk,criticality_risk,dependency_risk,vulnerability_risk,compound_risk_score,impact_score
fastapi:main,fastapi,main,application,fastapi,10.0,False,7,0,0,9,10.0,0,0,5.199999999999999,10.0
-e:latest,-e,latest,library,Unknown,5.0,False,0,1,0,6,5.0,1,0,3.3,10.0
-r:latest,-r,latest,library,Unknown,5.0,False,0,1,0,6,5.0,1,0,3.3,10.0
pre-commit:latest,pre-commit,latest,library,Unknown,5.0,False,0,1,0,6,5.0,1,0,3.3,10.0
playwright:latest,playwright,latest,library,Unknown,5.0,False,0,1,0,6,5.0,1,0,3.3,10.0
starlette:0.40.0,starlette,0.40.0,library,Unknown,5.0,False,0,1,0,6,5.0,1,0,3.3,10.0
pydantic:1.7.4,pydantic,1.7.4,library,Unknown,5.0,False,0,1,0,6,5.0,1,0,3.3,10.0
typing-extensions:4.8.0,typing-extensions,4.8.0,library,Unknown,5.0,False,0,1,0,6,5.0,1,0,3.3,10.0
